	PINK1-PRKN Mediated Mitophagy	Receptor Mediated Mitophagy
Tomm6	1.0	0.0
Pink1	1.0	0.0
Tomm70a	1.0	0.0
Map1lc3a	1.0	1.0
Tomm40	1.0	0.0
Atg5	1.0	1.0
Tomm5	1.0	0.0
Map1lc3b	1.0	1.0
Tomm7	1.0	0.0
Mfn2	1.0	0.0
Tomm22	1.0	0.0
Vdac1	1.0	0.0
Mfn1	1.0	0.0
Sqstm1	1.0	0.0
Atg12	1.0	1.0
Prkn	1.0	0.0
Tomm20	1.0	0.0
Ulk1	0.0	1.0
Csnk2a2	0.0	1.0
Src	0.0	1.0
Csnk2a1	0.0	1.0
Csnk2b	0.0	1.0
Fundc1	0.0	1.0
Pgam5	0.0	1.0
Tuba3a	0.0	0.0
Ube2v1	0.0	0.0
Tubb2a	0.0	0.0
Arl13b	0.0	0.0
Tuba1a	0.0	0.0
Tuba8	0.0	0.0
Tuba1b	0.0	0.0
Dync1h1	0.0	0.0
Tubb4a	0.0	0.0
Park7	0.0	0.0
Dync1i1	0.0	0.0
Cftr	0.0	0.0
Tubb4b	0.0	0.0
Dync1li2	0.0	0.0
Ube2n	0.0	0.0
Uba52	0.0	0.0
Ubb	0.0	0.0
Cetn1	0.0	0.0
Tubb2b	0.0	0.0
Tubb6	0.0	0.0
Tuba3b	0.0	0.0
Gm11808	0.0	0.0
Tubb3	0.0	0.0
Tubal3	0.0	0.0
Tuba4a	0.0	0.0
Vim	0.0	0.0
Dync1i2	0.0	0.0
Rps27a	0.0	0.0
Dynll1	0.0	0.0
Tubb1	0.0	0.0
Tuba1c	0.0	0.0
Hdac6	0.0	0.0
Dync1li1	0.0	0.0
Dynll2	0.0	0.0
Atm	0.0	0.0
Pex5	0.0	0.0
Nbr1	0.0	0.0
Usp30	0.0	0.0
Ccna1	0.0	0.0
E2f3	0.0	0.0
Ccna2	0.0	0.0
E2f1	0.0	0.0
Cdk2	0.0	0.0
Cdc25c	0.0	0.0
Plk1	0.0	0.0
Wee1	0.0	0.0
Foxm1	0.0	0.0
Pkmyt1	0.0	0.0
Haus2	0.0	0.0
Ckap5	0.0	0.0
Ofd1	0.0	0.0
Cntrl	0.0	0.0
Cep192	0.0	0.0
Cep290	0.0	0.0
Haus7	0.0	0.0
Akap9	0.0	0.0
Optn	0.0	0.0
Aurka	0.0	0.0
Ppp1r12a	0.0	0.0
Hsp90aa1	0.0	0.0
Sdccag8	0.0	0.0
Tubb5	0.0	0.0
Cdk1	0.0	0.0
Cep135	0.0	0.0
Haus8	0.0	0.0
Cep164	0.0	0.0
Rab8a	0.0	0.0
Ywhag	0.0	0.0
Ccnb1	0.0	0.0
Cep41	0.0	0.0
Dctn3	0.0	0.0
Ccnb2	0.0	0.0
Pcm1	0.0	0.0
Clasp1	0.0	0.0
Bora	0.0	0.0
Mapre1	0.0	0.0
Ssna1	0.0	0.0
Cep250	0.0	0.0
Prkar2b	0.0	0.0
Ppp1r12b	0.0	0.0
Cenpj	0.0	0.0
Prkaca	0.0	0.0
Skp1	0.0	0.0
Haus6	0.0	0.0
Csnk1e	0.0	0.0
Alms1	0.0	0.0
Cep76	0.0	0.0
Ajuba	0.0	0.0
Cetn2	0.0	0.0
Cep43	0.0	0.0
Sfi1	0.0	0.0
Csnk1d	0.0	0.0
Nek2	0.0	0.0
Ppp2r1a	0.0	0.0
Cep63	0.0	0.0
Nde1	0.0	0.0
Cep131	0.0	0.0
Fbxw11	0.0	0.0
Dctn2	0.0	0.0
Cep152	0.0	0.0
Nedd1	0.0	0.0
Tubg1	0.0	0.0
Pafah1b1	0.0	0.0
Haus4	0.0	0.0
Ninl	0.0	0.0
Dctn1	0.0	0.0
Ppp1cb	0.0	0.0
Haus3	0.0	0.0
Cep78	0.0	0.0
Cep70	0.0	0.0
Cdk5rap2	0.0	0.0
Haus5	0.0	0.0
Actr1a	0.0	0.0
Cul1	0.0	0.0
Odf2	0.0	0.0
Ywhae	0.0	0.0
Plk4	0.0	0.0
Haus1	0.0	0.0
Cep57	0.0	0.0
Cep72	0.0	0.0
Ccp110	0.0	0.0
Mzt2	0.0	0.0
Tubgcp3	0.0	0.0
Tubgcp5	0.0	0.0
Nme7	0.0	0.0
Tubg2	0.0	0.0
Tubgcp4	0.0	0.0
Cdk11b	0.0	0.0
Tubgcp2	0.0	0.0
Tubgcp6	0.0	0.0
Mzt1	0.0	0.0
Lcmt1	0.0	0.0
Ppp2r2a	0.0	0.0
Cdk7	0.0	0.0
Ppp2ca	0.0	0.0
Ppp2r3d	0.0	0.0
Cdc25a	0.0	0.0
Ccnh	0.0	0.0
Xpo1	0.0	0.0
Cdc25b	0.0	0.0
Ppp2r1b	0.0	0.0
Ppp2cb	0.0	0.0
Mnat1	0.0	0.0
Ppme1	0.0	0.0
Psma1	0.0	0.0
Psmb10	0.0	0.0
Psmd4	0.0	0.0
Psmd9	0.0	0.0
Psmb8	0.0	0.0
Psma2	0.0	0.0
Psma5	0.0	0.0
Psma7	0.0	0.0
Psmb1	0.0	0.0
Psmd3	0.0	0.0
Psme2b	0.0	0.0
Psmb2	0.0	0.0
Psmc4	0.0	0.0
Psmb6	0.0	0.0
Psmb4	0.0	0.0
Cdkn1a	0.0	0.0
Psmd12	0.0	0.0
Psmf1	0.0	0.0
Psmc3	0.0	0.0
Hsp90ab1	0.0	0.0
Psma3	0.0	0.0
Fkbpl	0.0	0.0
Psmd11	0.0	0.0
Psmd10	0.0	0.0
Psmb7	0.0	0.0
Psmd7	0.0	0.0
Psmc5	0.0	0.0
Psmd8	0.0	0.0
Psma6	0.0	0.0
Psme1	0.0	0.0
Psmd1	0.0	0.0
Psme2	0.0	0.0
Psmd6	0.0	0.0
Gtse1	0.0	0.0
Psmd13	0.0	0.0
Psmc2	0.0	0.0
Psme3	0.0	0.0
Psmc6	0.0	0.0
Psmb3	0.0	0.0
Psmc1	0.0	0.0
Psmd14	0.0	0.0
Psma8	0.0	0.0
Psmb11	0.0	0.0
Psmb5	0.0	0.0
Psmd5	0.0	0.0
Psma4	0.0	0.0
Psme4	0.0	0.0
Psmd2	0.0	0.0
Trp53	0.0	0.0
Rbx1	0.0	0.0
Fbxl7	0.0	0.0
Fbxl18	0.0	0.0
Tpx2	0.0	0.0
Hmmr	0.0	0.0
Phlda1	0.0	0.0
Ube2d1	0.0	0.0
Fzr1	0.0	0.0
Ube2c	0.0	0.0
Ube2e1	0.0	0.0
Anapc2	0.0	0.0
Anapc11	0.0	0.0
Cdc23	0.0	0.0
Anapc4	0.0	0.0
Anapc10	0.0	0.0
Anapc1	0.0	0.0
Cdc26	0.0	0.0
Anapc16	0.0	0.0
Anapc7	0.0	0.0
Anapc15	0.0	0.0
Anapc5	0.0	0.0
Ube2s	0.0	0.0
Cdc27	0.0	0.0
Cdc16	0.0	0.0
Cdc20	0.0	0.0
Aurkb	0.0	0.0
Skp2	0.0	0.0
Pttg1	0.0	0.0
Rb1	0.0	0.0
Cdc14a	0.0	0.0
Fbxo5	0.0	0.0
Bub1b	0.0	0.0
Bub3	0.0	0.0
Mad2l1	0.0	0.0
	0.0	0.0
Ccne2	0.0	0.0
Dyrk1a	0.0	0.0
Hdac1	0.0	0.0
Rbl1	0.0	0.0
Rbbp4	0.0	0.0
Tfdp1	0.0	0.0
Lin9	0.0	0.0
E2f4	0.0	0.0
Lin52	0.0	0.0
Ccne1	0.0	0.0
E2f5	0.0	0.0
Lin37	0.0	0.0
Rbl2	0.0	0.0
Prim1	0.0	0.0
Pola1	0.0	0.0
Pola2	0.0	0.0
Prim2	0.0	0.0
E2f2	0.0	0.0
Cdk4	0.0	0.0
Cdk6	0.0	0.0
Cdkn2b	0.0	0.0
Lyn	0.0	0.0
Ptk6	0.0	0.0
Ccnd2	0.0	0.0
Cdkn1c	0.0	0.0
Ccnd3	0.0	0.0
Abl1	0.0	0.0
Cdkn1b	0.0	0.0
Cks1b	0.0	0.0
Ccnd1	0.0	0.0
Cenpf	0.0	0.0
Birc5	0.0	0.0
Nup85	0.0	0.0
Hdac8	0.0	0.0
Rad21	0.0	0.0
Incenp	0.0	0.0
Sgo2a	0.0	0.0
Ska1	0.0	0.0
Cenpo	0.0	0.0
Itgb3bp	0.0	0.0
Zwilch	0.0	0.0
Cenpe	0.0	0.0
Nup160	0.0	0.0
Ppp2r5a	0.0	0.0
Nsl1	0.0	0.0
Ahctf1	0.0	0.0
Spdl1	0.0	0.0
Espl1	0.0	0.0
Sec13	0.0	0.0
Stag2	0.0	0.0
Cenpc1	0.0	0.0
Ppp2r5d	0.0	0.0
Cdca5	0.0	0.0
Zwint	0.0	0.0
Ppp2r5e	0.0	0.0
Nup133	0.0	0.0
Mis12	0.0	0.0
Sgo1	0.0	0.0
Ppp2r5c	0.0	0.0
Spc25	0.0	0.0
Cenpu	0.0	0.0
Cenpk	0.0	0.0
Dsn1	0.0	0.0
Ndel1	0.0	0.0
Stag1	0.0	0.0
Cdca8	0.0	0.0
Kntc1	0.0	0.0
Ska2	0.0	0.0
Bub1	0.0	0.0
Kif2c	0.0	0.0
Nudc	0.0	0.0
Clasp2	0.0	0.0
Cenpm	0.0	0.0
B9d2	0.0	0.0
Wapl	0.0	0.0
Nup37	0.0	0.0
Taok1	0.0	0.0
Cenpl	0.0	0.0
Cenph	0.0	0.0
Cenpn	0.0	0.0
Knl1	0.0	0.0
Nup98	0.0	0.0
Cenps	0.0	0.0
Pds5a	0.0	0.0
Cenpt	0.0	0.0
Ndc80	0.0	0.0
Kif18a	0.0	0.0
Seh1l	0.0	0.0
Nup43	0.0	0.0
Cenpa	0.0	0.0
Nuf2	0.0	0.0
Zw10	0.0	0.0
Pmf1	0.0	0.0
Rcc2	0.0	0.0
Smc1a	0.0	0.0
Cenpp	0.0	0.0
Nup107	0.0	0.0
Kif2a	0.0	0.0
Rangap1	0.0	0.0
Cenpq	0.0	0.0
Cenpi	0.0	0.0
Rps27rt	0.0	0.0
Ranbp2	0.0	0.0
Smc3	0.0	0.0
Pds5b	0.0	0.0
Spc24	0.0	0.0
Ppp2r5b	0.0	0.0
Ercc6l	0.0	0.0
Kif2b	0.0	0.0
Mad1l1	0.0	0.0
Ppp1cc	0.0	0.0
Rps27	0.0	0.0
Vrk1	0.0	0.0
Kpnb1	0.0	0.0
Sirt2	0.0	0.0
Vrk2	0.0	0.0
Ankle2	0.0	0.0
Lbr	0.0	0.0
Ndc1	0.0	0.0
Rcc1	0.0	0.0
Ube2i	0.0	0.0
Pom121	0.0	0.0
Nup188	0.0	0.0
