	PINK1-PRKN Mediated Mitophagy	Receptor Mediated Mitophagy
Ran	0.0	0.0
Nup35	0.0	0.0
Nup205	0.0	0.0
Sumo1	0.0	0.0
Nup93	0.0	0.0
Nup155	0.0	0.0
Cc2d1b	0.0	0.0
Chmp6	0.0	0.0
Chmp3	0.0	0.0
Vps4a	0.0	0.0
Chmp4b	0.0	0.0
Spast	0.0	0.0
Chmp4c	0.0	0.0
Chmp2a	0.0	0.0
Lemd2	0.0	0.0
Chmp2b	0.0	0.0
Chmp7	0.0	0.0
Ist1	0.0	0.0
Rab1a	0.0	0.0
Gorasp1	0.0	0.0
Mapk1	0.0	0.0
Rab1b	0.0	0.0
Blzf1	0.0	0.0
Golga2	0.0	0.0
Mapk3	0.0	0.0
Rab2a	0.0	0.0
Gorasp2	0.0	0.0
H4c18	0.0	0.0
H2bc13	0.0	0.0
H4f16	0.0	0.0
H2ax	0.0	0.0
Mcph1	0.0	0.0
H4c3	0.0	0.0
H4c12	0.0	0.0
H2bc7	0.0	0.0
H2ac8	0.0	0.0
H2ac10	0.0	0.0
Ncaph2	0.0	0.0
H2ac19	0.0	0.0
H2ac23	0.0	0.0
H2ac13	0.0	0.0
H2aj	0.0	0.0
H2ac24	0.0	0.0
H2ab1	0.0	0.0
H2ac7	0.0	0.0
H2az2	0.0	0.0
Kmt5a	0.0	0.0
H2bc12	0.0	0.0
H2ac18	0.0	0.0
H2bc24	0.0	0.0
H2ac20	0.0	0.0
Set	0.0	0.0
H2ac11	0.0	0.0
H2ab3	0.0	0.0
H4c8	0.0	0.0
H4c6	0.0	0.0
H4c14	0.0	0.0
H2az1	0.0	0.0
H2ac12	0.0	0.0
Phf8	0.0	0.0
H2bc3	0.0	0.0
Ncapg2	0.0	0.0
H4c11	0.0	0.0
H4c1	0.0	0.0
H2bc23	0.0	0.0
H2bc15	0.0	0.0
H4c17	0.0	0.0
H2ac4	0.0	0.0
H4c9	0.0	0.0
H4c4	0.0	0.0
H2bc11	0.0	0.0
H2bc21	0.0	0.0
Smc2	0.0	0.0
H2ac6	0.0	0.0
H2bc9	0.0	0.0
H2ab2	0.0	0.0
H2bc18	0.0	0.0
H2ac15	0.0	0.0
Ncapd3	0.0	0.0
H2bc14	0.0	0.0
H2ac22	0.0	0.0
Smc4	0.0	0.0
H4c2	0.0	0.0
Ensa	0.0	0.0
Arpp19	0.0	0.0
Nup88	0.0	0.0
Aaas	0.0	0.0
Nup50	0.0	0.0
Nup153	0.0	0.0
Gm49336	0.0	0.0
Nup62	0.0	0.0
Nup214	0.0	0.0
Nupl1	0.0	0.0
Nupl2	0.0	0.0
Tpr	0.0	0.0
Nup210	0.0	0.0
Nup54	0.0	0.0
Rae1	0.0	0.0
Lpin2	0.0	0.0
Lmnb1	0.0	0.0
Lpin3	0.0	0.0
Lpin1	0.0	0.0
Lmna	0.0	0.0
Prkcb	0.0	0.0
Ctdnep1	0.0	0.0
Emd	0.0	0.0
Cnep1r1	0.0	0.0
Lemd3	0.0	0.0
Ncapd2	0.0	0.0
Ncaph	0.0	0.0
Ncapg	0.0	0.0
Numa1	0.0	0.0
Eml4	0.0	0.0
Mau2	0.0	0.0
Nipbl	0.0	0.0
Esco2	0.0	0.0
Esco1	0.0	0.0
Mcm5	0.0	0.0
Orc1	0.0	0.0
Rfc3	0.0	0.0
Rad9a	0.0	0.0
Rpa1	0.0	0.0
Orc5	0.0	0.0
Cdc6	0.0	0.0
Mcm8	0.0	0.0
Cdc7	0.0	0.0
Orc3	0.0	0.0
Mcm7	0.0	0.0
Clspn	0.0	0.0
Chek1	0.0	0.0
Rfc4	0.0	0.0
Cdc45	0.0	0.0
Orc4	0.0	0.0
Orc2	0.0	0.0
Rpa3	0.0	0.0
Mcm3	0.0	0.0
Rad9b	0.0	0.0
Rad1	0.0	0.0
Rfc5	0.0	0.0
Rad17	0.0	0.0
Hus1	0.0	0.0
Mcm2	0.0	0.0
Orc6	0.0	0.0
Dbf4	0.0	0.0
Mcm10	0.0	0.0
Mcm6	0.0	0.0
Mcm4	0.0	0.0
Atrip	0.0	0.0
Rfc2	0.0	0.0
Ywhab	0.0	0.0
Sfn	0.0	0.0
Ywhaz	0.0	0.0
Ywhah	0.0	0.0
Chek2	0.0	0.0
Ywhaq	0.0	0.0
Cop1	0.0	0.0
Zfp385a	0.0	0.0
Pot1a	0.0	0.0
Acd	0.0	0.0
Wrap53	0.0	0.0
Ppp6r3	0.0	0.0
Dkc1	0.0	0.0
Ppp6c	0.0	0.0
Tert	0.0	0.0
Shq1	0.0	0.0
Terf2	0.0	0.0
Terf2ip	0.0	0.0
Rtel1	0.0	0.0
Gar1	0.0	0.0
Terf1	0.0	0.0
Nhp2	0.0	0.0
Ankrd28	0.0	0.0
Pif1	0.0	0.0
Nop10	0.0	0.0
Stn1	0.0	0.0
Rfc1	0.0	0.0
Ctc1	0.0	0.0
Pold1	0.0	0.0
Chtf8	0.0	0.0
Dscc1	0.0	0.0
Chtf18	0.0	0.0
Pold3	0.0	0.0
Ten1	0.0	0.0
Pold4	0.0	0.0
Pcna	0.0	0.0
Pold2	0.0	0.0
Wrn	0.0	0.0
Dna2	0.0	0.0
Fen1	0.0	0.0
Atrx	0.0	0.0
Daxx	0.0	0.0
Rsf1	0.0	0.0
Hjurp	0.0	0.0
Npm1	0.0	0.0
Cenpw	0.0	0.0
Oip5	0.0	0.0
Rbbp7	0.0	0.0
Smarca5	0.0	0.0
Mis18bp1	0.0	0.0
Ruvbl1	0.0	0.0
Cenpx	0.0	0.0
Mis18a	0.0	0.0
Kirrel	0.0	0.0
Fyn	0.0	0.0
Iqgap1	0.0	0.0
Nck1	0.0	0.0
Wasl	0.0	0.0
Nck2	0.0	0.0
Kirrel2	0.0	0.0
Kirrel3	0.0	0.0
Nphs2	0.0	0.0
Nphs1	0.0	0.0
Grb2	0.0	0.0
Gm9733	0.0	0.0
Gm5150	0.0	0.0
Sirpa	0.0	0.0
Ptk2b	0.0	0.0
Sirpb1c	0.0	0.0
Sirpb1b	0.0	0.0
Sftpd	0.0	0.0
Fyb	0.0	0.0
Tyrobp	0.0	0.0
Cd47	0.0	0.0
Skap2	0.0	0.0
Sirpb1a	0.0	0.0
Sftpa1	0.0	0.0
Sdk1	0.0	0.0
Nectin2	0.0	0.0
Nectin4	0.0	0.0
Cadm3	0.0	0.0
Nectin1	0.0	0.0
Cadm1	0.0	0.0
Pvr	0.0	0.0
Nectin3	0.0	0.0
Pard6a	0.0	0.0
Pard6b	0.0	0.0
F11r	0.0	0.0
Pard3	0.0	0.0
Prkci	0.0	0.0
Pard6g	0.0	0.0
Cd151	0.0	0.0
Krt14	0.0	0.0
Plec	0.0	0.0
Itga6	0.0	0.0
Col17a1	0.0	0.0
Itgb4	0.0	0.0
Krt5	0.0	0.0
Lama3	0.0	0.0
Lamb3	0.0	0.0
Dst	0.0	0.0
Itgb1	0.0	0.0
Pxn	0.0	0.0
Ilk	0.0	0.0
Parva	0.0	0.0
Rsu1	0.0	0.0
Lims1	0.0	0.0
Parvb	0.0	0.0
Arhgef6	0.0	0.0
Tesk1	0.0	0.0
Actn1	0.0	0.0
Cited2	0.0	0.0
Ep300	0.0	0.0
Hif3a	0.0	0.0
Epas1	0.0	0.0
Hif1a	0.0	0.0
Arnt	0.0	0.0
Egln1	0.0	0.0
Vhl	0.0	0.0
Limd1	0.0	0.0
Ube2d2a	0.0	0.0
Egln3	0.0	0.0
Elob	0.0	0.0
Eloc	0.0	0.0
Egln2	0.0	0.0
Cul2	0.0	0.0
Wtip	0.0	0.0
Ube2d3	0.0	0.0
H3c7	0.0	0.0
H3f3a	0.0	0.0
H3f3b	0.0	0.0
Tnik	0.0	0.0
Bmi1	0.0	0.0
Txn1	0.0	0.0
H3c11	0.0	0.0
Mapk14	0.0	0.0
Map2k3	0.0	0.0
Mapkapk5	0.0	0.0
Ezh2	0.0	0.0
H3c3	0.0	0.0
Map2k6	0.0	0.0
Mapk10	0.0	0.0
Phc3	0.0	0.0
H3c10	0.0	0.0
Kdm6b	0.0	0.0
Jun	0.0	0.0
Map3k5	0.0	0.0
Phc1	0.0	0.0
Mdm2	0.0	0.0
Mapk8	0.0	0.0
Rnf2	0.0	0.0
Mapkapk2	0.0	0.0
Mapk9	0.0	0.0
Eed	0.0	0.0
Mapk11	0.0	0.0
H3c2	0.0	0.0
H3c6	0.0	0.0
Mapkapk3	0.0	0.0
Adam1a	0.0	0.0
H3c14	0.0	0.0
H3c1	0.0	0.0
Cbx4	0.0	0.0
H3c13	0.0	0.0
Cbx8	0.0	0.0
Gm49320	0.0	0.0
Ring1	0.0	0.0
Mdm4	0.0	0.0
Phc2	0.0	0.0
Map2k7	0.0	0.0
Map2k4	0.0	0.0
Fos	0.0	0.0
Scmh1	0.0	0.0
H3c15	0.0	0.0
Suz12	0.0	0.0
H3c8	0.0	0.0
Cbx2	0.0	0.0
Mink1	0.0	0.0
H3c4	0.0	0.0
Map4k4	0.0	0.0
Ehmt2	0.0	0.0
Cebpb	0.0	0.0
Ehmt1	0.0	0.0
Erf	0.0	0.0
Ets2	0.0	0.0
Id1	0.0	0.0
Ets1	0.0	0.0
Hira	0.0	0.0
Ubn1	0.0	0.0
Hmga2	0.0	0.0
Cabin1	0.0	0.0
H1f5	0.0	0.0
H1f3	0.0	0.0
Hmga1b	0.0	0.0
Hmga1	0.0	0.0
H1f0	0.0	0.0
H1f1	0.0	0.0
Ep400	0.0	0.0
Asf1a	0.0	0.0
H1f2	0.0	0.0
Actr10	0.0	0.0
Dnajb1	0.0	0.0
Dnaja2	0.0	0.0
Capzb	0.0	0.0
Pgr	0.0	0.0
Dctn5	0.0	0.0
Capza3	0.0	0.0
Stip1	0.0	0.0
Capza2	0.0	0.0
Nr3c2	0.0	0.0
Ptges3	0.0	0.0
Hspa1l	0.0	0.0
Hspa8	0.0	0.0
Hspa2	0.0	0.0
Hspa1b	0.0	0.0
Fkbp4	0.0	0.0
Dctn6	0.0	0.0
Dnaja4	0.0	0.0
Dctn4	0.0	0.0
Dnaja1	0.0	0.0
Ar	0.0	0.0
Hspa1a	0.0	0.0
Fkbp5	0.0	0.0
Rps19bp1	0.0	0.0
Hspa4	0.0	0.0
Hspa4l	0.0	0.0
Bag3	0.0	0.0
Hsf1	0.0	0.0
Bag5	0.0	0.0
Hspa12b	0.0	0.0
Hspa14	0.0	0.0
Dnajc7	0.0	0.0
Bag4	0.0	0.0
Hspa9	0.0	0.0
Hspa13	0.0	0.0
Bag2	0.0	0.0
Sirt1	0.0	0.0
Ccar2	0.0	0.0
St13	0.0	0.0
Hspa5	0.0	0.0
Hsph1	0.0	0.0
Gsk3b	0.0	0.0
Dnajb6	0.0	0.0
Dnajc2	0.0	0.0
Hikeshi	0.0	0.0
Bag1	0.0	0.0
Hspa12a	0.0	0.0
Eef1a1	0.0	0.0
Vcp	0.0	0.0
Hsbp1	0.0	0.0
Mbtps2	0.0	0.0
Mbtps1	0.0	0.0
Eif2s3x	0.0	0.0
Eif2s1	0.0	0.0
Eif2s2	0.0	0.0
Eif2ak3	0.0	0.0
Ern1	0.0	0.0
Creb3l3	0.0	0.0
Crebrf	0.0	0.0
Bach1	0.0	0.0
Apoa1	0.0	0.0
Apob	0.0	0.0
Tlr4	0.0	0.0
Hba-a1	0.0	0.0
Clec1b	0.0	0.0
Ly96	0.0	0.0
Hbb-bs	0.0	0.0
Slc46a1	0.0	0.0
Hbb-bt	0.0	0.0
Mafk	0.0	0.0
Atp6v1b2	0.0	0.0
Atp6v1c1	0.0	0.0
Nprl3	0.0	0.0
Mios	0.0	0.0
Szt2	0.0	0.0
BC048403	0.0	0.0
Rragb	0.0	0.0
Atp6v1d	0.0	0.0
Atp6v1g1	0.0	0.0
Fnip2	0.0	0.0
Lamtor4	0.0	0.0
Atp6v1e1	0.0	0.0
Atp6v0e	0.0	0.0
Mlst8	0.0	0.0
Atp6v0d2	0.0	0.0
Atp6v1f	0.0	0.0
Slc38a9	0.0	0.0
Bmt2	0.0	0.0
Castor1	0.0	0.0
Depdc5	0.0	0.0
Sesn2	0.0	0.0
Fnip1	0.0	0.0
Nprl2	0.0	0.0
Atp6v1a	0.0	0.0
Atp6v1b1	0.0	0.0
Rragd	0.0	0.0
Mtor	0.0	0.0
Wdr24	0.0	0.0
Rragc	0.0	0.0
Lamtor5	0.0	0.0
Atp6v0d1	0.0	0.0
Rptor	0.0	0.0
Atp6v0b	0.0	0.0
Wdr59	0.0	0.0
Atp6v1e2	0.0	0.0
Atp6v0c	0.0	0.0
Atp6v1c2	0.0	0.0
Lamtor2	0.0	0.0
Atp6v1g2	0.0	0.0
Atp6v1h	0.0	0.0
Flcn	0.0	0.0
Lamtor1	0.0	0.0
Sh3bp4	0.0	0.0
Sesn1	0.0	0.0
Atp6v0e2	0.0	0.0
Atp6v1g3	0.0	0.0
Rraga	0.0	0.0
Castor2	0.0	0.0
Tcirg1	0.0	0.0
Kptn	0.0	0.0
Rheb	0.0	0.0
Itfg2	0.0	0.0
Lamtor3	0.0	0.0
Sod3	0.0	0.0
Txnrd2	0.0	0.0
Gpx2	0.0	0.0
Ncf4	0.0	0.0
Gstp1	0.0	0.0
Cybb	0.0	0.0
Txnrd1	0.0	0.0
Prdx6	0.0	0.0
Prdx5	0.0	0.0
Gpx5	0.0	0.0
Gsr	0.0	0.0
Gpx7	0.0	0.0
Gm10053	0.0	0.0
Nudt2	0.0	0.0
Cat	0.0	0.0
Sod1	0.0	0.0
Cycs	0.0	0.0
Sod2	0.0	0.0
Gpx6	0.0	0.0
Ccs	0.0	0.0
Cyba	0.0	0.0
Prdx2	0.0	0.0
Ncf2	0.0	0.0
Nox4	0.0	0.0
Prdx1	0.0	0.0
Gpx1	0.0	0.0
Txn2	0.0	0.0
Gpx3	0.0	0.0
Gpx8	0.0	0.0
Prdx3	0.0	0.0
Ncf1	0.0	0.0
Ero1a	0.0	0.0
P4hb	0.0	0.0
Keap1	0.0	0.0
Nfe2l2	0.0	0.0
Cul3	0.0	0.0
Fbxl17	0.0	0.0
Mt1	0.0	0.0
Mt2	0.0	0.0
Mt3	0.0	0.0
Hdac10	0.0	0.0
H2bc6	0.0	0.0
Mta3	0.0	0.0
Mta2	0.0	0.0
Mta1	0.0	0.0
Rest	0.0	0.0
H2bc8	0.0	0.0
Ncor2	0.0	0.0
Gatad2b	0.0	0.0
Kdm1a	0.0	0.0
Tbl1xr1	0.0	0.0
Suds3	0.0	0.0
Arid4a	0.0	0.0
Brms1	0.0	0.0
Arid4b	0.0	0.0
Sap30l	0.0	0.0
Chd3	0.0	0.0
Mbd3	0.0	0.0
H2bc4	0.0	0.0
Sap30	0.0	0.0
H2ac21	0.0	0.0
Rcor1	0.0	0.0
Tbl1x	0.0	0.0
Hmg20b	0.0	0.0
Gatad2a	0.0	0.0
H2aw	0.0	0.0
Gps2	0.0	0.0
Chd4	0.0	0.0
Phf21a	0.0	0.0
Setdb1	0.0	0.0
Kmt2a	0.0	0.0
Nfkb2	0.0	0.0
Setd1b	0.0	0.0
Smyd2	0.0	0.0
Prdm16	0.0	0.0
Aebp2	0.0	0.0
Wdr5	0.0	0.0
Setd7	0.0	0.0
Nfkb1	0.0	0.0
Suv39h1	0.0	0.0
Dot1l	0.0	0.0
Setd6	0.0	0.0
Kmt2e	0.0	0.0
Smyd3	0.0	0.0
Dpy30	0.0	0.0
Rbbp5	0.0	0.0
Mecom	0.0	0.0
Prdm9	0.0	0.0
Nsd1	0.0	0.0
Setdb2	0.0	0.0
Kmt2d	0.0	0.0
Kmt5b	0.0	0.0
Nsd3	0.0	0.0
Kmt5c	0.0	0.0
Setd2	0.0	0.0
Nsd2	0.0	0.0
Suv39h2	0.0	0.0
Setd3	0.0	0.0
Ash1l	0.0	0.0
Ash2l	0.0	0.0
Atf7ip	0.0	0.0
Rela	0.0	0.0
Kmt2b	0.0	0.0
Setd1a	0.0	0.0
Kdm4c	0.0	0.0
Kdm5a	0.0	0.0
Kdm5c	0.0	0.0
Kdm4a	0.0	0.0
Arid5b	0.0	0.0
Kdm4d	0.0	0.0
Kdm7a	0.0	0.0
Jmjd6	0.0	0.0
Kdm3a	0.0	0.0
Riox2	0.0	0.0
Kdm2b	0.0	0.0
Kdm2a	0.0	0.0
Kdm5d	0.0	0.0
Kdm3b	0.0	0.0
Kdm4b	0.0	0.0
Phf2	0.0	0.0
Uty	0.0	0.0
Kdm6a	0.0	0.0
Kdm1b	0.0	0.0
Kdm5b	0.0	0.0
Kansl2	0.0	0.0
Kat7	0.0	0.0
Jade2	0.0	0.0
Ncoa1	0.0	0.0
Brpf3	0.0	0.0
Ogt	0.0	0.0
Ing5	0.0	0.0
Pax3	0.0	0.0
Ncoa2	0.0	0.0
Meaf6	0.0	0.0
Kat6a	0.0	0.0
Phf20	0.0	0.0
Kat6b	0.0	0.0
Jade1	0.0	0.0
Kansl3	0.0	0.0
Atf2	0.0	0.0
Ing4	0.0	0.0
Hcfc1	0.0	0.0
Hat1	0.0	0.0
Msl1	0.0	0.0
Kat8	0.0	0.0
Msl2	0.0	0.0
Mcrs1	0.0	0.0
Brpf1	0.0	0.0
Kansl1	0.0	0.0
Jade3	0.0	0.0
Brd1	0.0	0.0
Msl3	0.0	0.0
Smarcd3	0.0	0.0
