sample	LV0	LV8	LV30	LV43	LV79	LV86	LV91	LV94	LV124	LV138	LV150	LV153	LV158
day1_cocaine_NAc_rep1	-0.0683500668901156	-0.3192021815439348	-0.1523484118278767	0.3802097713949995	-0.1526680942116145	-0.2070766858136858	-0.059477026499827	-0.1376477598871395	0.2320000006801919	0.2890685930750648	0.1303736507432251	0.2308396298665617	0.0981846862847562
day1_cocaine_NAc_rep2	-0.0759148313550057	-0.3004571507775903	-0.1364605413014376	0.2771017823541737	-0.1358730532704418	-0.2066131566905625	-0.0644203782407044	-0.0858232608149772	0.2198862726595916	0.1787833222607033	0.0408229325685342	0.1737857707203758	0.3214590503355583
day1_cocaine_NAc_rep3	-0.0990432783003567	-0.357592458904261	-0.1523282280737459	0.2034721811219699	-0.1629727768480184	-0.1744644191040963	-0.0815919411062731	-0.083265345495621	0.2852973775147235	0.2651137045143441	0.1708554081302258	0.2242933234316602	0.2183557782057718
day1_cocaine_NAc_rep4	-0.0858399859522289	-0.2773609279860556	-0.1316076764681834	0.3737348840277364	-0.138282598249991	-0.1811492562303021	-0.0337984528361832	-0.1338741892572554	0.237332905280621	0.2479084160846082	0.1024638784783818	0.2077331022579373	0.0684089101515028
day1_cocaine_NAc_rep5	-0.0956991908871574	-0.1557707389203423	-0.1155614774109381	0.2345640859141142	-0.0657655787572517	-0.1659789417473966	0.1189265746648291	-0.1130577646459382	0.0834196681744531	0.0340846164844097	-0.0400279000614246	0.1071684613031184	0.2965524087229075
day1_cocaine_NAc_rep6	-0.0648099669659112	-0.2555852765803847	-0.0810337764262047	0.1493236761842093	-0.1167142697102973	-0.0706673176533982	-0.1462639773464125	-0.0174272218018849	0.1505286260106195	0.201749549831067	0.1587875801856641	0.1463048290317138	0.0713879807218122
day1_cocaine_NAc_rep7	-0.0759587074057536	0.1149527509196782	0.0010518561374773	0.4357453122951518	0.0462610543889736	-0.1736556552937341	0.0025225219761197	-0.0508313092481279	-0.0121262909884605	-0.0510100271009605	-0.0470345499442223	-0.003149646191819	-0.054546582609897
day1_cocaine_PFC_rep1	-0.0561798604580852	-0.268509382093456	0.0429982789315308	-0.1473695835681813	-0.1271024138304006	-0.119724023326723	-0.1526627736933551	0.1282208487760504	0.1567681748288874	0.2213280506895556	0.2500208725718575	0.1211761476938052	0.0441019937610527
day1_cocaine_PFC_rep2	-0.0672633191681223	-0.2637858120836941	0.0131144912981198	-0.148306957718676	-0.1274188786101991	-0.1118118435765079	-0.1372727282154962	0.1342286985839139	0.1620127966393841	0.2301692245597455	0.3283300503992759	0.140408315797952	0.0118176345822405
day1_cocaine_PFC_rep3	-0.0380570859678897	-0.2472651732659231	0.0155832929559699	-0.1498896198081871	-0.1189150034013809	-0.0489367967671661	-0.1909242488077248	0.1828643276027217	0.1183301611355835	0.1451839773761234	0.2582052182404802	0.0954631848220332	0.1415523838218548
