"LV_ID","day","region","pvalue","adjusted_p"
"LV1","day1","NAc","0.308647495513951",0.879844347570932
"LV1","day1","PFC","0.10284972590362",0.821225016728673
"LV1","day1","VTA","0.654508256104803",0.921347546428902
"LV1","day28","NAc","0.426776300538454",0.905984284140408
"LV1","day28","PFC","0.521603580362008",0.915078450715089
"LV1","day28","VTA","0.429652117099904",0.905984284140408
"LV2","day1","NAc","0.275169080447507",0.879844347570932
"LV2","day1","PFC","0.438275965893856",0.905984284140408
"LV2","day1","VTA","0.220593035042035",0.873622405593689
"LV2","day28","NAc","0.533505940112898",0.915078450715089
"LV2","day28","PFC","0.91647848459928",0.992951716423381
"LV2","day28","VTA","0.414181677291074",0.905984284140408
"LV3","day1","NAc","0.0419849273504714",0.790022435141893
"LV3","day1","PFC","0.210728612938723",0.873622405593689
"LV3","day1","VTA","0.648879917042347",0.921347546428902
"LV3","day28","NAc","0.38839294615491",0.905984284140408
"LV3","day28","PFC","0.568655237853008",0.91648960962003
"LV3","day28","VTA","0.206139951384899",0.872156108803176
"LV4","day1","NAc","0.946941568402585",0.993282539443196
"LV4","day1","PFC","0.311185223509152",0.879844347570932
"LV4","day1","VTA","0.346395816763263",0.897236891228659
"LV4","day28","NAc","0.833420184939112",0.964461094520733
"LV4","day28","PFC","0.138001653269258",0.853098967563052
"LV4","day28","VTA","0.953052952968987",0.993282539443196
"LV5","day1","NAc","0.646117909341921",0.921347546428902
"LV5","day1","PFC","0.697047913487929",0.925361147466339
"LV5","day1","VTA","0.19984313387849",0.865203214909227
"LV5","day28","NAc","0.257973797928202",0.873622405593689
"LV5","day28","PFC","0.809139189723228",0.956407430938401
"LV5","day28","VTA","0.58780813945035",0.917151616081909
"LV6","day1","NAc","0.320300462165877",0.879844347570932
"LV6","day1","PFC","0.232972460682813",0.873622405593689
"LV6","day1","VTA","0.124141885366405",0.844653126079471
"LV6","day28","NAc","0.213036733385506",0.873622405593689
"LV6","day28","PFC","0.0989118685559394",0.821225016728673
"LV6","day28","VTA","0.261864957501453",0.873622405593689
"LV7","day1","NAc","0.467852371982663",0.905984284140408
